id,text,label
0,schedule team schedule schedule meeting buy buy,not spam
1,discount urgent lottery winner winner assignment team,spam
2,project schedule schedule schedule team buy cash,not spam
3,money winner cash deal urgent meeting assignment,spam
4,lottery urgent lottery discount offer work report,spam
5,cash winner free free cash assignment project,spam
6,task assignment task update team offer lottery,not spam
7,urgent lottery deal free urgent team deadline,spam
8,work work update task project money offer,not spam
9,offer buy buy cash discount task assignment,spam
10,free discount money cash offer schedule task,spam
11,schedule work report meeting report urgent free,not spam
12,assignment schedule team project schedule free offer,not spam
13,urgent deal deal urgent deal schedule team,spam
14,report project assignment team deadline free buy,not spam
15,discount deal money buy deal assignment deadline,spam
16,money deal offer deal money schedule update,spam
17,report update work team team discount offer,not spam
18,schedule schedule meeting assignment project urgent cash,not spam
19,money offer cash offer deal schedule task,spam
20,update project task task update money money,not spam
21,meeting work work task schedule money buy,not spam
22,team assignment deadline schedule update offer free,not spam
23,report meeting meeting meeting work cash urgent,not spam
24,assignment schedule update update task free winner,not spam
25,discount buy lottery deal lottery meeting work,spam
26,task update team schedule meeting offer deal,not spam
27,project schedule report report work cash offer,not spam
28,team schedule project report report money urgent,not spam
29,buy money buy discount buy deadline meeting,spam
30,cash free deal urgent urgent project assignment,spam
31,work update meeting deadline report urgent winner,not spam
32,money money discount buy deal project schedule,spam
33,team deadline project task project urgent buy,not spam
34,money free free buy deal meeting project,spam
35,winner cash winner money lottery work team,spam
36,schedule assignment project update report money urgent,not spam
37,free discount winner free winner schedule schedule,spam
38,task deadline team deadline team money deal,not spam
39,discount free urgent buy lottery team assignment,spam
40,buy cash buy free free team project,spam
41,work deadline deadline update task buy discount,not spam
42,cash urgent urgent cash cash report deadline,spam
43,free buy buy cash urgent update schedule,spam
44,project update team report schedule free deal,not spam
45,buy discount money cash offer meeting report,spam
46,free winner lottery urgent winner deadline schedule,spam
47,project assignment update team project cash cash,not spam
48,discount discount lottery money free schedule deadline,spam
49,meeting assignment schedule meeting project discount lottery,not spam
50,team schedule task assignment team money deal,not spam
51,work deadline project team report deal discount,not spam
52,assignment schedule assignment schedule meeting money cash,not spam
53,cash deal money lottery buy schedule work,spam
54,update meeting task report meeting offer offer,not spam
55,discount discount urgent offer money schedule schedule,spam
56,free free cash lottery discount assignment update,spam
57,urgent money deal offer urgent assignment project,spam
58,discount urgent deal cash offer deadline report,spam
59,project assignment project task schedule discount deal,not spam
60,report assignment team work task discount winner,not spam
61,discount money urgent buy free task task,spam
62,lottery lottery urgent free offer task update,spam
63,buy lottery discount money buy assignment schedule,spam
64,urgent buy money buy winner deadline deadline,spam
65,lottery deal lottery winner lottery work update,spam
66,lottery money money deal cash schedule schedule,spam
67,lottery buy offer free lottery work meeting,spam
68,free deal offer lottery free update assignment,spam
69,project assignment team assignment update winner winner,not spam
70,offer offer free lottery money deadline assignment,spam
71,update schedule deadline deadline schedule discount buy,not spam
72,cash deal buy discount buy team project,spam
73,discount lottery money buy buy task schedule,spam
74,lottery discount lottery discount offer meeting schedule,spam
75,project project report work deadline free urgent,not spam
76,deal buy lottery free winner deadline schedule,spam
77,buy discount offer buy offer report work,spam
78,discount offer cash lottery offer team work,spam
79,schedule task work report report offer free,not spam
80,discount deal urgent urgent free project schedule,spam
81,urgent deal discount urgent free meeting schedule,spam
82,team report report update project cash discount,not spam
83,meeting work task assignment project winner money,not spam
84,update work report meeting work offer money,not spam
85,cash buy lottery urgent winner assignment deadline,spam
86,buy winner offer deal free deadline assignment,spam
87,free winner cash deal deal work task,spam
88,buy discount winner urgent money meeting meeting,spam
89,winner free cash buy money assignment meeting,spam
90,offer cash offer offer money deadline project,spam
91,urgent urgent buy money urgent task assignment,spam
92,buy buy urgent discount winner task schedule,spam
93,winner free discount free free deadline task,spam
94,schedule meeting assignment task task deal cash,not spam
95,discount offer urgent discount discount schedule work,spam
96,task task team assignment meeting buy urgent,not spam
97,schedule deadline work update deadline free discount,not spam
98,deadline meeting work deadline deadline free lottery,not spam
99,update update deadline assignment deadline free offer,not spam
100,offer free free cash lottery deadline meeting,spam
101,offer lottery deal urgent deal schedule work,spam
102,task assignment update work project discount money,not spam
103,winner lottery offer free discount work team,spam
104,winner free cash offer offer project report,spam
105,report project project meeting work discount deal,not spam
106,urgent lottery discount cash deal report schedule,spam
107,free buy discount offer urgent project project,spam
108,urgent buy deal urgent offer schedule project,spam
109,task task work work team buy winner,not spam
110,assignment report project task schedule money lottery,not spam
111,team assignment report task task cash offer,not spam
112,urgent winner offer deal free report update,spam
113,schedule project work task deadline buy lottery,not spam
114,update schedule deadline schedule deadline lottery urgent,not spam
115,deadline report assignment assignment update winner lottery,not spam
116,deal urgent deal offer buy schedule deadline,spam
117,winner buy money cash urgent task report,spam
118,lottery winner free deal urgent schedule task,spam
119,meeting deadline meeting meeting update money offer,not spam
120,free buy urgent urgent lottery meeting project,spam
121,deadline team task team deadline lottery money,not spam
122,schedule report meeting work schedule offer free,not spam
123,report project work meeting task free offer,not spam
124,work task project update project free discount,not spam
125,team team assignment team task deal winner,not spam
126,money winner winner deal lottery update schedule,spam
127,work assignment deadline work team free winner,not spam
128,work team schedule deadline schedule lottery buy,not spam
129,cash urgent urgent cash lottery schedule update,spam
130,discount free cash lottery urgent task schedule,spam
131,offer buy offer deal lottery schedule work,spam
132,lottery winner deal winner buy project task,spam
133,urgent free deal offer lottery project assignment,spam
134,urgent offer urgent cash lottery team task,spam
135,task schedule project report report cash deal,not spam
136,buy discount deal discount winner work schedule,spam
137,free free cash free urgent meeting team,spam
138,deadline assignment update assignment update deal free,not spam
139,update work project assignment project money deal,not spam
140,deal urgent cash money deal meeting task,spam
141,team meeting deadline meeting update free deal,not spam
142,report team task meeting task lottery free,not spam
143,meeting work meeting schedule project buy winner,not spam
144,update project update deadline meeting discount free,not spam
145,deal money offer free free project update,spam
146,meeting project report team assignment lottery discount,not spam
147,lottery money discount deal offer work report,spam
148,buy offer winner free deal assignment assignment,spam
149,meeting update meeting schedule team money deal,not spam
150,cash free urgent winner deal assignment task,spam
151,project project work meeting schedule discount urgent,not spam
152,lottery money winner deal offer report work,spam
153,discount buy free cash buy schedule schedule,spam
154,report work deadline deadline project deal free,not spam
155,task report meeting project schedule urgent lottery,not spam
156,deadline assignment deadline update schedule buy buy,not spam
157,buy lottery deal discount urgent deadline assignment,spam
158,meeting schedule update team schedule money lottery,not spam
159,update project report project task buy discount,not spam
160,meeting schedule work meeting work discount free,not spam
161,free urgent winner urgent lottery project project,spam
162,update meeting task team schedule money buy,not spam
163,schedule assignment work schedule project lottery deal,not spam
164,money free urgent buy lottery team update,spam
165,buy offer free discount deal assignment update,spam
166,winner discount offer free cash deadline schedule,spam
167,urgent buy discount deal cash report assignment,spam
168,report task report work project discount offer,not spam
169,meeting schedule team deadline update buy buy,not spam
170,deal urgent cash money discount schedule project,spam
171,deadline deadline task task task winner free,not spam
172,meeting meeting meeting work meeting buy winner,not spam
173,project assignment team update team free buy,not spam
174,free lottery deal lottery urgent work deadline,spam
175,assignment work report task assignment free money,not spam
176,deal buy cash discount discount team schedule,spam
177,offer cash winner buy offer assignment report,spam
178,free discount free offer cash deadline schedule,spam
179,work work schedule project report buy free,not spam
180,report meeting schedule task deadline lottery buy,not spam
181,report assignment task schedule deadline winner discount,not spam
182,discount free cash cash free assignment update,spam
183,buy cash winner winner lottery work meeting,spam
184,winner discount free money buy meeting meeting,spam
185,winner winner lottery free offer team report,spam
186,task report deadline deadline update deal deal,not spam
187,work report report task meeting free buy,not spam
188,deal cash offer free offer deadline assignment,spam
189,schedule update deadline update deadline cash winner,not spam
190,buy cash urgent free money project deadline,spam
191,schedule project meeting report work deal winner,not spam
192,assignment assignment project update schedule winner discount,not spam
193,project work team deadline assignment free lottery,not spam
194,urgent money money lottery money update deadline,spam
195,free free lottery winner discount work meeting,spam
196,deal offer lottery urgent offer assignment team,spam
197,task assignment assignment update project urgent deal,not spam
198,deal winner deal urgent free update deadline,spam
199,work deadline meeting update update buy money,not spam
200,schedule report project project deadline urgent money,not spam
201,deadline team meeting meeting team discount lottery,not spam
202,cash deal cash winner lottery meeting work,spam
203,task assignment report project deadline lottery deal,not spam
204,cash free offer free money project meeting,spam
205,cash deal winner winner urgent meeting team,spam
206,money lottery deal deal discount schedule deadline,spam
207,free deal free offer deal project team,spam
208,task schedule task task work deal urgent,not spam
209,deadline task deadline project work free discount,not spam
210,update task update meeting project cash winner,not spam
211,task update report project schedule discount urgent,not spam
212,task project project assignment task cash deal,not spam
213,assignment deadline team project work free winner,not spam
214,team project task report report deal urgent,not spam
215,offer winner urgent offer discount report assignment,spam
216,buy free winner urgent offer task deadline,spam
217,team update meeting update schedule offer cash,not spam
218,team schedule task report schedule money cash,not spam
219,work meeting project assignment schedule discount urgent,not spam
220,discount cash buy cash money assignment report,spam
221,discount offer discount lottery buy deadline schedule,spam
222,assignment assignment report team project money deal,not spam
223,winner free winner cash winner update assignment,spam
224,report update work task update cash discount,not spam
225,work task project meeting deadline money offer,not spam
226,lottery cash buy free deal meeting team,spam
227,task team schedule report assignment winner winner,not spam
228,work update assignment meeting task lottery discount,not spam
229,urgent urgent deal cash lottery team deadline,spam
230,meeting work deadline update team discount buy,not spam
231,project report report assignment update buy cash,not spam
232,update work meeting update assignment buy cash,not spam
233,winner discount offer lottery cash update update,spam
